===PREVIEW===
Lowest verified Telhanorte offers for CEP 13380-000 (Nova Odessa/SP).
These quotations must not be auto-selected and exclude unknown freight.
===END_PREVIEW===
===FILE: PRICE_PACK.csv===
id,description,quotation_id,unit_price,quantity,unit,vendor,shipping_cost,total_price,product_url,price_notes,checked_at,selected,currency,brand,model,specifications,package_size,availability,seller_location,quote_valid_until,source_type,source_name,source_page,extraction_confidence,ambiguities
EXP_0014,Impermeabilizante (bianco),TELHANORTE_20260917,319.9,1,balde,Telhanorte,0,319.9,https://www.telhanorte.com.br/bianco-bd-18-kg-263915/p,Produto: Aditivo Líquido De Alto Desempenho Bianco 18kg Vedacit. Preço exibido: R$ 319.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,263915,"{""brand"":""Vedacit"",""product_line"":""Bianco"",""net_content"":""18 kg"",""form"":""liquid additive / bonding agent""}",18 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,"Preferred ~18 kg Bianco/Vedacit balde; smaller Bianco SKUs (900g, 1kg, 3.6kg) exist but were not selected.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído."
EXP_0016,Cimento,TELHANORTE_20260917,34.9,1,saco (50 kg),Telhanorte,0,34.9,https://www.telhanorte.com.br/cimento-cinza-cp-ii-e-32-rs-campeao-50kg-2437279/p,Produto: Cimento Cinza CPII-E 50KG Campeão Nacional. Preço exibido: R$ 34.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,2437279,"{""brand"":""Nacional"",""type"":""CPII-E"",""weight"":""50 kg""}",50 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Lowest in-stock 50 kg cement among available comparable listings in this run.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0017,Telha,TELHANORTE_20260917,1.99,1,unidade,Telhanorte,0,1.99,https://www.telhanorte.com.br/telha-portuguesa-de-ceramica-39x24cm-10mm-realeza-vermelha-resinada-barrobello-1402951/p,Produto: Telha Portuguesa Premium 40x24 Vermelha Resinada Barrobello. Preço exibido: R$ 1.99. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,1402951,"{""brand"":""Barrobello"",""type"":""ceramic Portuguese resinated"",""dimensions"":""40x24 cm (slug also cites 39x24 cm / 10 mm)"",""color"":""vermelha""}",1 unidade,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Preferred ceramic Portuguese tile; glass/polycarbonate Portuguese tiles were higher-priced and not selected.; Alternate ceramic Faulin listing (~R$2.19) was unavailable (AvailableQuantity=0).; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0019,Tijolinho de barro,TELHANORTE_20260917,0.665,1,unidade,Telhanorte,0,0.67,https://www.telhanorte.com.br/tijolo-comum-ensacado-10un-emic--2555646/p,Produto: Tijolo Maciço comum Emic Ensacado com 10 Unidades. Preço exibido: R$ 6.65. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,2555646,"{""brand"":""Emic"",""type"":""solid common clay brick (tijolo maciço / tijolinho)"",""pack_count"":10,""material"":""ceramic clay""}",10 unidades,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Sold only as a 10-unit bag; normalized_unit_price_brl is per brick.; minimum_quantity remains 1 (one bag purchase).; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0021,Arame recuzido,TELHANORTE_20260917,23.9,1,quilograma (kg),Telhanorte,0,23.9,https://www.telhanorte.com.br/arame-recozido-1-24mm-rl-1kg-arcelormittal-1554875/p,"Produto: Arame Recozido 1,24mm ArcelorMittal 1kg. Preço exibido: R$ 23.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.",2026-09-17,False,BRL,,1554875,"{""brand"":""ArcelorMittal"",""diameter"":""1.24 mm"",""package"":""1 kg roll""}",1 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Page also advertises a Pix discount (~15% off); stored displayed_price_brl is the card/list price R$23.90.; Gerdau BWG 18 1kg (~R$10.90) appeared in search but AvailableQuantity=0 and was excluded.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0023,Porcelanato,TELHANORTE_20260917,42.9,1,metro quadrado (m²),Telhanorte,0,42.9,https://www.telhanorte.com.br/porcelanato-acetinado-61-8x61-8-chicago-gray-dp61108-cx2-67m-embra-2537362/p,"Produto: Porcelanato Chicago Retificado Acetinado Cinza 61x61cm 2,67m2 Embramaco. Preço exibido: R$ 114.54. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.",2026-09-17,False,BRL,,2537362,"{""brand"":""Embramaco"",""format_cm"":""61 x 61"",""finish"":""Acetinado retificado"",""color"":""Cinza / Chicago Gray"",""box_area_m2"":2.67}","caixa 2,67 m²",in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,"Lowest verified quantity-1 per-m² price among available porcelain candidates.; Page also advertises optional Pix 5% off on the box total; ranking uses the card/API list price, not Pix.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído."
EXP_0024,Rejunte de porcelanato,TELHANORTE_20260917,35.9,1,quilograma (kg),Telhanorte,0,35.9,https://www.telhanorte.com.br/rejunte-acrilico-1kg-branco-portokoll-1385224/p,Produto: Rejunte Acrílico Branco 1kg PortoKoll. Preço exibido: R$ 35.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,1385224,"{""brand"":""PortoKoll"",""type"":""Acrílico"",""color"":""Branco"",""weight_kg"":1}",1 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Lowest verified quantity-1 acrylic (porcelain-oriented) white grout among candidates.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0025,Argamassa para o porcelanato,TELHANORTE_20260917,34.9,1,saco (20 kg),Telhanorte,0,34.9,https://www.telhanorte.com.br/argamassa-aciii-interexter-plastico-20kg-royal-gres-2495414/p,Produto: Argamassa ACIII Porcelanato Cerâmica Interno Externo Cinza 20kg Royal Gres. Preço exibido: R$ 34.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,2495414,"{""brand"":""Royal Gres"",""type"":""ACIII"",""color"":""Cinza"",""weight_kg"":20,""use"":""Porcelanato/cerâmica interno e externo""}",saco 20 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Lowest verified quantity-1 ACIII 20 kg bag among candidates.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0041,Rodapés para acompanhar o porcelanato (R$1500),TELHANORTE_20260917,60.4,1,metro linear (m),Telhanorte,0,60.4,https://www.telhanorte.com.br/rodape-branco-boleado-14-5x120-acetinado-caixa-4-pcs-eliane-2391643/p,"Produto: Rodapé Porcelanato Branco Boleado Acetinado Retificado 14,5x120cm Eliane. Preço exibido: R$ 289.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.",2026-09-17,False,BRL,,2391643,"{""brand"":""Eliane"",""material"":""Porcelanato"",""piece_cm"":""14,5 x 120"",""pieces_per_box"":4,""box_linear_m"":4.8,""finish"":""Acetinado boleado retificado"",""color"":""Branco""}","caixa 4 peças (4,80 m)",in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Lowest verified available qty-1 normalized per-meter price among porcelain rodapé boxes with evidenced piece count.; Click & Retire showed no nearby store stock on the page; online AvailableQuantity from API is positive and Add to Cart is enabled.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0046,Tinta,TELHANORTE_20260917,149.9,1,lata (18 L),Telhanorte,0,149.9,https://www.telhanorte.com.br/tinta-acrilica-nova-eco-p-parede-18l-branco-neve-quartzolit-1826808/p,Produto: Tinta Acrílica Nova Eco Quartzolit Branco Neve Interna 18L. Preço exibido: R$ 149.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Telhanorte.,2026-09-17,False,BRL,,1826808,"{""brand"":""Weber Quartzolit"",""type"":""Acrílica Nova Eco"",""color"":""Branco Neve"",""volume_l"":18,""use"":""Interna / parede""}",lata 18 L,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,telhanorte-lowest-prices.json,,1,Lowest verified quantity-1 18 L wall acrylic paint among candidates.; Optional Pix 5% off advertised on page; ranking uses card/API price R$149.90.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
