===PREVIEW===
Lowest verified Sodimac Brasil offers for CEP 13380-000 (Nova Odessa/SP).
These quotations must not be auto-selected and exclude unknown freight.
===END_PREVIEW===
===FILE: PRICE_PACK.csv===
id,description,quotation_id,unit_price,quantity,unit,vendor,shipping_cost,total_price,product_url,price_notes,checked_at,selected,currency,brand,model,specifications,package_size,availability,seller_location,quote_valid_until,source_type,source_name,source_page,extraction_confidence,ambiguities
EXP_0014,Impermeabilizante (bianco),SODIMAC_20260917,314.9,1,balde,Sodimac Brasil,0,314.9,https://www.sodimac.com.br/sodimac-br/product/3803/aditivo-para-argamassa-e-chapisco-pva-bianco-balde-18-litros-vedacit/3803/,Produto: Aditivo para Argamassa e Chapisco PVA Bianco Balde 18 Litros Vedacit. Preço exibido: R$ 314.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,3803,"{""brand"":""Vedacit"",""product_line"":""Bianco"",""net_content"":""18 L"",""package_type"":""Balde"",""form"":""liquid PVA bonding additive""}",18 L,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,"Preferred ~18 L Bianco/Vedacit balde; smaller Bianco SKUs (900 g Sup, 3.6 L galão) exist but were not selected for balde unit ranking.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído."
EXP_0016,Cimento,SODIMAC_20260917,32.9,1,saco (50 kg),Sodimac Brasil,0,32.9,https://www.sodimac.com.br/sodimac-br/product/686667/cimento-caue-cpiif32-uso-geral-50kg/686667/,Produto: Cimento Cauê CPIIF32 Uso Geral 50kg. Preço exibido: R$ 32.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,686667,"{""brand"":""Cauê"",""type"":""CP II F 32"",""weight"":""50 kg""}",50 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest in-stock 50 kg cement among comparable listings in this run (event/promo price).; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0017,Telha,SODIMAC_20260917,1.96,1,unidade,Sodimac Brasil,0,1.96,https://www.sodimac.com.br/sodimac-br/product/647894/telha-portuguesa-de-ceramica-resinada-24cmx39cmx40mm-vermelho-resinado/647894/,Produto: Telha Portuguesa de Cerâmica Resinada 24cmx39cmx40mm Vermelho Resinado. Preço exibido: R$ 1.96. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,647894,"{""brand"":""Barrobello"",""type"":""ceramic Portuguese resinated"",""dimensions"":""24x39 cm x 40 mm"",""color"":""vermelho resinado""}",1 unidade,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Tied with Telha Romana at R$1.96; Portuguesa selected as winner among ceramic unit tiles.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0019,Tijolinho de barro,SODIMAC_20260917,0.89,1,unidade,Sodimac Brasil,0,0.89,https://www.sodimac.com.br/sodimac-br/product/33939/tijolo-comum-10-pe%C3%A7as/33939/,Produto: Tijolo Comum 10 peças. Preço exibido: R$ 8.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.,2026-09-17,False,BRL,,33939,"{""brand"":""AB Areias"",""type"":""solid common clay brick (tijolo comum / tijolinho)"",""pack_count"":10,""material"":""ceramic clay""}",10 unidades,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Sold only as a 10-unit bag; normalized_unit_price_brl is per brick.; minimum_quantity remains 1 (one bag purchase).; Decorative tijolo vazado / plaqueta refratária listings excluded as not comparable tijolinho de barro.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0021,Arame recuzido,SODIMAC_20260917,21.9,1,quilograma (kg),Sodimac Brasil,0,21.9,https://www.sodimac.com.br/sodimac-br/product/1797341/arame-btc-recozido-bwg18-124mm-rl-1kg/1797341/,"Produto: Arame Btc Recozido Bwg18 1,24mm Rl 1kg. Preço exibido: R$ 21.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac.",2026-09-17,False,BRL,,1797341,"{""brand"":""Comep"",""diameter"":""1.24 mm (BWG18)"",""package"":""1 kg roll"",""material"":""arame recozido""}",1 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Only recozido 1 kg SKU surfaced by Sodimac search in this run (search lands on this product page).; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0023,Porcelanato,SODIMAC_20260917,39.9,1,metro quadrado (m²),Sodimac Brasil,0,39.9,https://www.sodimac.com.br/sodimac-br/product/898363/piso-porcelanato-acetinado-retificado-bege-interno-60x60cm-champagne-branco-cetim-caixa-2-2m2/898363/,"Produto: Piso Porcelanato Acetinado Retificado Bege Interno 60x60cm Champagne Branco Cetim Incesa Caixa 2,2m². Preço exibido: R$ 87.78. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.",2026-09-17,False,BRL,,898363,"{""brand"":""Incesa"",""format_cm"":""60 x 60"",""finish"":""Acetinado retificado"",""color"":""Bege / Champagne Branco Cetim"",""box_area_m2"":2.2,""use"":""Interno; chão/parede""}","caixa 2,2 m²",in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 per-m² price among available porcelain candidates.; Ranking uses visible event/internet card price; freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0024,Rejunte de porcelanato,SODIMAC_20260917,54.9,1,quilograma (kg),Sodimac Brasil,0,54.9,https://www.sodimac.com.br/sodimac-br/product/637939002/rejunte-acrilico-1kg-branco/637939002/,Produto: Rejunte Acrílico 1kg Branco Quartzolit. Preço exibido: R$ 54.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,637939002,"{""brand"":""Quartzolit"",""type"":""Acrílico"",""color"":""Branco"",""weight_kg"":1}",1 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Seed URL re-verified; white acrylic 1 kg used as porcelain-oriented comparable.; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0025,Argamassa para o porcelanato,SODIMAC_20260917,44.9,1,saco (20 kg),Sodimac Brasil,0,44.9,https://www.sodimac.com.br/sodimac-br/product/739012/argamassa-flexivel-aciii-20kg-cinza/739012/,Produto: Argamassa Flexível ACIII 20Kg Cinza Quartzolit. Preço exibido: R$ 44.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,739012,"{""brand"":""Quartzolit"",""type"":""ACIII flexível"",""color"":""Cinza"",""weight_kg"":20,""use"":""Interno/externo; cerâmica, porcelanato, mármore, granito e pedras naturais""}",saco 20 kg,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Seed URL re-verified; lowest verified quantity-1 ACIII 20 kg bag among candidates.; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0041,Rodapés para acompanhar o porcelanato (R$1500),SODIMAC_20260917,91.58,1,metro linear (m),Sodimac Brasil,0,91.58,https://www.sodimac.com.br/sodimac-br/product/1031133/rodape-porcelanato-acetinado-esmaltado-branco-20x120cm-retificado-michelangelo/1031133/,Produto: Rodapé Porcelanato Acetinado Esmaltado Branco 20X120cm Portobello Retificado Michelangelo. Preço exibido: R$ 109.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1031133,"{""brand"":""Portobello"",""line"":""Michelangelo"",""format_cm"":""20 x 120"",""finish"":""Acetinado esmaltado retificado"",""color"":""Branco"",""piece_length_m"":1.2,""quantity_per_sale"":""peça""}","1 peça 1,20 m",in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Only verified porcelain/ceramic rodapé with evidenced length and visible price; polystyrene skirting excluded as non-comparable to porcelain companion.; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0046,Tinta,SODIMAC_20260917,99.9,1,lata (18 L),Sodimac Brasil,0,99.9,https://www.sodimac.com.br/sodimac-br/product/1806739/tinta-acrilica-economica-branco-18l/1806739/,Produto: Tinta Acrílica Econômica Branco 18l Karson. Preço exibido: R$ 99.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Sodimac Brasil.,2026-09-17,False,BRL,,1806739,"{""brand"":""Karson"",""type"":""Acrílica econômica fosco"",""color"":""Branco"",""volume_l"":18,""use"":""Interna (também listado para externas nas recomendações de aplicação)""}",lata 18 L,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,sodimac-lowest-prices.json,,1,Lowest verified quantity-1 18 L wall acrylic white among candidates.; Freight for CEP 13380-000 not calculated.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
