===PREVIEW===
Lowest verified Leroy Merlin offers for CEP 13380-000 (Nova Odessa/SP).
These quotations must not be auto-selected and exclude unknown freight.
===END_PREVIEW===
===FILE: PRICE_PACK.csv===
id,description,quotation_id,unit_price,quantity,unit,vendor,shipping_cost,total_price,product_url,price_notes,checked_at,selected,currency,brand,model,specifications,package_size,availability,seller_location,quote_valid_until,source_type,source_name,source_page,extraction_confidence,ambiguities
EXP_0014,Impermeabilizante (bianco),LEROY_20260917,314.9,1,balde,Leroy Merlin,0,314.9,https://www.leroymerlin.com.br/aditivo-para-chapisco-vedacit-bianco-18kg-branco_86101561,Produto: Aditivo para Chapisco Vedacit Bianco 18kg Branco. Preço exibido: R$ 314.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,86101561,"{""brand"":""Vedacit""}",1,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0016,Cimento,LEROY_20260917,34.9,1,saco (50 kg),Leroy Merlin,0,34.9,https://www.leroymerlin.com.br/cimento-cp-iii-32-rs-50kg-csn_92137822,Produto: Cimento CP III 32 RS 50kg CSN. Preço exibido: R$ 34.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,92137822,"{""brand"":""CSN""}",1,limited,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; isAvailableOnEcommerce=false at check time; price still visible on API.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0023,Porcelanato,LEROY_20260917,34.6906,1,metro quadrado (m²),Leroy Merlin,0,34.69,https://www.leroymerlin.com.br/porcelanato-interno-esmaltado-acetinado-borda-reta-60x60cm-cortona-cemento-itagres_89566162,Produto: Porcelanato Interno Esmaltado Acetinado Borda Reta 60x60cm Cortona Cemento Itagres. Preço exibido: R$ 48.22. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,89566162,"{""brand"":""Itagres""}",1.39 m²,limited,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Normalized from pack 1.39 m² at R$48.22.; Freight not calculated for CEP 13380-000; freight_brl left null.; isAvailableOnEcommerce=false at check time; price still visible on API.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0024,Rejunte de porcelanato,LEROY_20260917,32.81,1,quilograma (kg),Leroy Merlin,0,32.81,https://www.leroymerlin.com.br/rejunte-acrilico-camurca-1kg-fortaleza_92380953,Produto: Rejunte Acrílico Camurça 1kg Fortaleza. Preço exibido: R$ 32.81. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,92380953,"{""brand"":""Fortaleza""}",1,limited,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; isAvailableOnEcommerce=false at check time; price still visible on API.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0025,Argamassa para o porcelanato,LEROY_20260917,34.9,1,saco (20 kg),Leroy Merlin,0,34.9,https://www.leroymerlin.com.br/argamassa-aciii-interno-e-externo-20kg-cinza-axton_89296172,Produto: Argamassa ACIII Interno e Externo 20kg Cinza Axton. Preço exibido: R$ 34.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,89296172,"{""brand"":""Axton""}",1,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0046,Tinta,LEROY_20260917,199.9,1,lata (18 L),Leroy Merlin,0,199.9,https://www.leroymerlin.com.br/tinta-acrilica-fosca-para-parede-interna-luxens-economica-branco-18l_91917014,Produto: Tinta Acrílica Fosca para Parede Interna Luxens Econômica Branco 18L. Preço exibido: R$ 199.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,91917014,"{""brand"":""Luxens""}",1,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0048,"Silicone, espuma expansiva, selante PU",LEROY_20260917,40.12,1,kit,Leroy Merlin,0,40.12,https://www.leroymerlin.com.br/silicone-acetico-260g-unipega-preto_1572130176,Produto: Kit representativo: Silicone Acético 260g Unipega Preto + Espuma Expansiva Quartzolit 500ml. Preço exibido: R$ 40.12. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,1572130176,"{""components"":[{""name"":""Silicone Acético 260g Unipega Preto"",""price"":16.91,""url"":""https://www.leroymerlin.com.br/silicone-acetico-260g-unipega-preto_1572130176""},{""name"":""Espuma Expansiva Quartzolit 500ml"",""price"":23.21,""url"":""https://www.leroymerlin.com.br/espuma-expansiva-quartzolit-500ml_1571024549""}]}",2 itens (silicone + espuma; PU nao verificado),in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Representative kit; selante PU not verified.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0049,Lona para proteção da obra,LEROY_20260917,0.7247,1,metro quadrado (m²),Leroy Merlin,0,0.72,https://www.leroymerlin.com.br/lona-plastica-4x100m-preta-plasitap_92349376,Produto: Lona Plástica 4x100m Preta Plasitap. Preço exibido: R$ 289.90. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,92349376,"{""brand"":""Plasitap""}",400 m²,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Normalized from 4x100 m sheet.; Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0026,Portas internas,LEROY_20260917,307.3,1,unidade,Leroy Merlin,0,307.3,"https://www.leroymerlin.com.br/folha-de-porta-madeira-lisa-210x80cm-espessura-3,5cm-melaminica-mgm-marrom-mogno-mogno_1567587108","Produto: Folha De Porta Madeira Lisa 210x80cm Espessura 3,5cm Melamínica Mgm Marrom/mogno Mogno. Preço exibido: R$ 307.30. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.",2026-09-17,False,BRL,,1567587108,"{""brand"":""Mgm""}",1,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
EXP_0029,Janela (quartos e escritório),LEROY_20260917,773.39,1,unidade,Leroy Merlin,0,773.39,https://www.leroymerlin.com.br/janela-de-correr-aluminio-branco-04-folhas-classic-120x120_1572871815,Produto: Janela De Correr Alumínio Branco 04 Folhas Classic - 120x120. Preço exibido: R$ 773.39. Local de referência: CEP 13380-000 — Nova Odessa/SP. Vendedor anunciado: Leroy Merlin.,2026-09-17,False,BRL,,1572871815,"{""brand"":""Mercosul Portas e Janelas""}",1,in_stock,CEP 13380-000 Nova Odessa/SP — frete não confirmado,,text,leroymerlin-lowest-prices.json,,1,Freight not calculated for CEP 13380-000; freight_brl left null.; Preço referenciado para CEP 13380-000 (Nova Odessa/SP); confirmar frete no checkout.; Frete para a obra não confirmado e não incluído.
